year,semiconductor_production_trillion_krw,semiconductor_market_share_pct,semiconductor_exports_100m_usd,semiconductor_export_growth_pct,semiconductor_imports_100m_usd,semiconductor_import_growth_pct,dram_price_usd,display_production_trillion_krw,display_market_share_pct,display_exports_100m_usd,display_export_growth_pct,display_imports_100m_usd,display_import_growth_pct,lcd_average_price_usd
2004,34.6,9.6,265.2,35.7,236.2,10.7,1.72,33.0,38.7,14,75.0,10,42.9,28.9
2005,32.4,10.5,299.8,13.1,251.3,6.4,2.16,36.0,40.7,49,250.0,10,0.0,28.0
2006,32.4,11.3,373.6,24.6,280.4,11.6,1.59,40.6,40.6,125,155.1,12,20.0,25.8
2007,37.5,11.4,390.4,4.5,308.2,9.9,2.17,43.6,40.4,171,36.8,30,150.0,23.8
2008,36.4,9.8,327.9,-16.0,320.2,3.9,0.93,51.9,39.5,188,9.9,39,30.0,30.1
2009,40.8,11.7,310.4,-5.3,266.2,-16.9,0.66,72.6,45.3,256,36.2,42,7.7,28.6
2010,51.2,14.3,507.1,63.4,311.4,17.0,1.2,90.0,45.7,332,29.7,52,23.8,31.9
2011,61.5,13.8,501.4,-1.1,324.8,4.3,0.6,86.7,47.6,333,0.3,51,-1.9,30.1
2012,64.5,14.3,504.3,0.6,322.4,-0.8,1.6,82.3,50.7,368,10.5,45,-11.8,34.7
2013,68.0,15.5,571.4,13.3,346.3,7.4,3.4,81.7,44.7,358,-2.7,41,-8.9,37.4
2014,74.0,16.2,626.5,9.6,364.6,5.3,4.0,74.1,42.8,323,-9.8,41,-2.4,31.1
2015,79.2,17.0,629.2,0.4,382.8,5.0,2.6,65.2,45.2,297,-8.0,40,-2.4,30.4
2016,84.5,16.5,622.3,-1.1,366.1,-4.4,1.9,64.1,45.8,251,-15.5,30,-25.0,28.8
2017,119.6,21.4,979.4,57.4,411.7,12.5,3.2,75.5,44.4,274,9.2,51,71.3,32.5
2018,143.3,23.7,1267.1,29.4,447.3,8.6,3.3,72.6,42.6,247,-9.9,52,1.1,29.4
2019,134.4,18.5,939.3,-25.9,470.3,5.1,1.8,67.7,40.2,205,-17.0,47,-9.6,28.4
2020,158.7,18.4,991.8,5.6,502.9,6.9,1.6,68.9,36.8,180,-12.3,33,-29.6,33.4
2021,200.5,19.9,1279.8,29.0,613.9,22.1,2.9,76.3,33.3,214,18.9,29,-12.8,37.7
2022,223.6,17.7,1292.3,1.0,747.8,21.8,2.2,72.1,36.9,211,-1.1,38,30.7,30.5
2023,167.6,13.2,986.3,-23.7,623.7,-16.6,1.1,60.8,33.4,186,-12.1,36,-4.9,27.8
2024,,18.8,1419.2,43.9,722.2,15.8,1.0,,33.1,187,0.5,4,5.7,32.5
